temp,dew,humidity,precip,windspeed,pollen_intensity,Clear,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",tem amplitude,Kmeans label,birch,dbscan,risk level
15.0,9.5,71.6,0.0,17.8,1.0,1.0,0.0,0.0,0.0,0.0,9.6,0,0,0,2
15.3,8.0,64.7,0.0,13.8,1.0,1.0,0.0,0.0,0.0,0.0,9.5,0,0,0,3
16.3,7.1,55.2,0.0,17.9,1.0,1.0,0.0,0.0,0.0,0.0,10.6,1,2,-1,2
16.1,7.2,57.7,0.0,13.6,1.0,1.0,0.0,0.0,0.0,0.0,10.700000000000001,1,0,-1,1
15.2,7.1,60.5,0.0,17.7,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0,0,6,1
14.6,9.5,71.8,0.0,18.3,1.0,1.0,0.0,0.0,0.0,0.0,6.399999999999999,0,0,0,1
14.1,8.0,67.8,0.0,18.5,1.0,1.0,0.0,0.0,0.0,0.0,7.6,0,0,0,2
14.4,10.0,75.3,0.0,25.2,1.0,1.0,0.0,0.0,0.0,0.0,7.4,0,0,0,1
15.6,11.1,75.2,0.0,17.6,1.0,1.0,0.0,0.0,0.0,0.0,8.899999999999999,0,0,0,3
13.6,10.9,84.3,0.0,23.4,1.0,1.0,0.0,0.0,0.0,0.0,8.6,2,1,0,2
15.1,11.4,80.2,2.737,20.4,1.0,0.0,0.0,1.0,0.0,0.0,6.600000000000001,2,0,0,3
15.1,13.5,90.2,4.034,38.3,1.0,0.0,0.0,1.0,0.0,0.0,4.4,2,1,-1,3
13.1,10.0,82.2,27.529,35.8,1.0,0.0,0.0,1.0,0.0,0.0,4.800000000000001,2,1,-1,2
11.9,9.0,83.5,14.149,30.2,1.0,0.0,0.0,1.0,0.0,0.0,5.9,2,1,-1,2
13.8,8.0,69.5,0.002,25.6,1.0,0.0,0.0,1.0,0.0,0.0,5.899999999999999,0,0,0,2
14.9,9.2,70.4,0.0,18.9,1.0,1.0,0.0,0.0,0.0,0.0,9.6,0,0,0,2
15.5,11.1,76.0,0.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,8.399999999999999,0,0,0,1
16.3,9.6,66.6,0.0,16.8,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0,0,0,2
14.2,8.8,71.2,0.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0,0,0,2
12.8,5.4,62.0,0.001,44.6,1.0,0.0,0.0,1.0,0.0,0.0,5.300000000000001,1,0,-1,2
14.5,4.2,52.1,0.0,21.4,1.0,1.0,0.0,0.0,0.0,0.0,9.299999999999999,1,2,-1,3
15.9,4.6,51.9,0.0,12.5,1.0,1.0,0.0,0.0,0.0,0.0,13.2,1,2,-1,1
15.9,8.6,62.9,0.0,20.6,1.0,1.0,0.0,0.0,0.0,0.0,11.899999999999999,0,0,0,2
13.4,8.5,72.6,0.0,22.1,1.0,1.0,0.0,0.0,0.0,0.0,6.6,0,0,0,2
14.3,6.2,59.6,0.0,27.1,1.0,1.0,0.0,0.0,0.0,0.0,9.299999999999999,1,0,-1,2
15.7,3.9,46.6,0.0,22.6,1.0,1.0,0.0,0.0,0.0,0.0,9.5,1,2,-1,1
15.9,3.4,44.2,0.0,22.5,1.0,1.0,0.0,0.0,0.0,0.0,7.700000000000001,1,2,-1,2
14.8,5.5,54.0,0.0,15.5,1.0,1.0,0.0,0.0,0.0,0.0,8.399999999999999,1,2,-1,3
16.0,2.4,41.6,0.005,21.5,4.0,0.0,0.0,1.0,0.0,0.0,9.8,1,2,-1,1
17.8,3.8,40.2,0.0,21.9,4.0,1.0,0.0,0.0,0.0,0.0,10.5,1,2,-1,1
17.4,6.4,49.6,0.0,24.1,4.0,1.0,0.0,0.0,0.0,0.0,8.1,1,2,-1,1
19.0,5.5,44.7,0.0,28.4,4.0,1.0,0.0,0.0,0.0,0.0,11.7,1,2,-1,3
19.2,2.5,33.1,0.0,34.7,4.0,1.0,0.0,0.0,0.0,0.0,8.9,1,2,-1,2
18.3,4.5,44.1,0.0,25.0,4.0,1.0,0.0,0.0,0.0,0.0,9.600000000000001,1,2,-1,1
17.1,6.3,52.9,0.0,17.7,4.0,1.0,0.0,0.0,0.0,0.0,10.899999999999999,1,2,-1,2
